,sample,genome_position,time,true_location_0,true_location_1,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_200_estimated_location_0,window_200_variance_in_estimated_location_0,window_200_estimated_location_1,window_200_variance_in_estimated_location_1
258,170,226784.6723820116,1023,23.66347943144489,98.5410959007117,226784.6723820116,38.824376941369664,72.60393467628194,75.7126874236064,72.60393467628194,36.29659052081262,162.19707343418978,87.15395382649953,162.19707343418978,35.30614156433654,145.35447856072355,85.34906728465482,145.35447856072355,33.71773601113055,115.22819012288916,84.20853107774647,115.22819012288916
259,586,467752.8843547406,618,44.19533481544241,22.780293090600985,467752.8843547406,40.725712770635106,68.99896258768806,35.932094535320175,68.99896258768806,35.808534858940796,146.3776700504798,30.87441717268856,146.3776700504798,37.03892642545848,123.2036929511946,30.03466670158586,123.2036929511946,42.020611177394855,93.5789166535952,30.869244389326166,93.5789166535952
260,996,749438.8040241802,1861,92.40701189845065,29.090787879556057,749438.8040241802,62.277426694264086,245.26677748859134,31.882788557157877,245.26677748859134,82.80019937884833,678.0834241977291,13.172575574463409,678.0834241977291,74.38873626054124,397.7380816750407,15.776595428603954,397.7380816750407,72.54686204609817,332.4544947467689,16.159241860588867,332.4544947467689
261,458,598051.1811354145,47,65.70802319649853,9.968870609298325,598051.1811354145,64.48320939425247,20.86179549474717,16.35836812398763,20.86179549474717,65.49529383610599,22.514268229440354,16.44436227328414,22.514268229440354,65.29084286927483,22.449399657210954,16.27529497969408,22.449399657210954,65.3180652193226,22.44063665874636,16.35389710135074,22.44063665874636
262,512,544444.4519846586,1292,70.01326896557788,5.859379995935684,544444.4519846586,60.96628359179855,98.50329996242309,31.13374981156792,98.50329996242309,69.45886766702027,167.4514551447396,19.008976887329766,167.4514551447396,65.76236311447495,148.85029343872748,19.300771989144952,148.85029343872748,65.75878536716581,133.3427791555135,27.221108061428946,133.3427791555135
263,721,815493.333816351,621,72.65527808923655,73.04700798793152,815493.333816351,64.42015519321723,59.5027236756409,59.52782191760603,59.5027236756409,69.57312196663487,192.54599345239288,62.51781570309326,192.54599345239288,66.31724247825959,105.49636704769235,55.389610586877694,105.49636704769235,61.62669314035002,86.84890201120108,54.538295878461085,86.84890201120108
264,188,234400.29638298164,765,60.57741984521432,62.68041689187861,234400.29638298164,50.98086374338197,60.90589468961661,58.12416442611363,60.90589468961661,57.6023933761043,129.56321421739847,65.5147565536045,129.56321421739847,58.55347154129936,102.18330679361148,60.27081661774697,102.18330679361148,58.66406768259757,90.03863196531904,61.4104074723398,90.03863196531904
265,617,160612.40830311275,1596,77.0781554007888,35.06845464035554,160612.40830311275,62.56907104618878,137.8286125934715,40.8739456884736,137.8286125934715,65.46182536136381,629.4491871948337,29.42511859411227,629.4491871948337,72.97678843354154,206.31306072561767,37.7940290727159,206.31306072561767,72.08081802680921,169.67567199723024,37.99171653171514,169.67567199723024
266,852,27106.49774663043,1156,37.484102453663915,92.73257664811834,27106.49774663043,40.24538590945172,53.130395972691446,73.45629438935092,53.130395972691446,38.11175522147725,141.0093691587942,82.8281136861324,141.0093691587942,36.2195022664569,129.1061960835014,81.97305469099045,129.1061960835014,34.15374890938304,110.53604825459294,83.52593312501207,110.53604825459294
267,818,833217.5452802216,66,29.732316323913352,30.371878607828336,833217.5452802216,32.51185416196549,18.044949479321797,28.665131165963487,18.044949479321797,32.48734607272307,20.57143744460145,27.60010165682273,20.57143744460145,31.960054475012186,19.706118391041343,28.320719840121043,19.706118391041343,32.00335791703017,19.623948529168544,28.471623630756167,19.623948529168544
268,59,164467.0249525546,1559,77.42349955680197,26.7492668402938,164467.0249525546,61.77417883499059,88.16922748364341,40.715519292215774,88.16922748364341,79.0334508710809,175.79621404963544,31.952277100226482,175.79621404963544,75.40435956975249,148.12356502346114,35.38880664210532,148.12356502346114,72.05585375021451,114.88522873514057,34.82022420792247,114.88522873514057
269,314,164671.30011231513,400,19.411730916387445,78.31003207160789,164671.30011231513,25.459775578130348,20.93534696241844,71.12244625198294,20.93534696241844,18.406536067348913,75.84027795406966,68.90037617940841,75.84027795406966,17.802231079641125,69.06622362022608,68.93813522440793,69.06622362022608,22.87706445155134,36.64801639731917,73.89861267843288,36.64801639731917
270,29,168050.21067679516,643,40.33412691130192,14.529894332668206,168050.21067679516,34.43335654437062,79.92226618699726,34.98874705329397,79.92226618699726,36.62358128462946,354.3433593749122,25.720691399099117,354.3433593749122,36.6235812846182,351.5308593747981,25.720691399095646,351.5308593747981,42.02492195936199,228.97491029925766,29.782380181498652,228.97491029925766
271,43,504128.3834387279,72,39.621682277965725,28.597230903450534,504128.3834387279,38.20857137174998,10.041789245835265,34.323623166275496,10.041789245835265,37.624196012699684,18.896745031623247,34.08914201042142,18.896745031623247,37.61436287729739,18.888843769300816,34.086887453603495,18.888843769300816,37.6895751576939,18.88202868056976,34.114229184798084,18.88202868056976
272,17,141645.66009767278,1002,20.480909261107165,27.364987385150194,141645.66009767278,35.0908121293609,40.055819417370174,41.63831306339481,40.055819417370174,14.885522474956943,150.4452427399678,37.69473796286284,150.4452427399678,14.80865477241695,132.571289976322,34.05709691610093,132.571289976322,21.614862900739706,84.696549070728,33.15739461748698,84.696549070728
273,464,771256.9859028073,45,86.86232828970249,46.04918111615598,771256.9859028073,87.16015897623278,11.681105791227733,46.74880365176202,11.681105791227733,88.48373788141289,12.861757652584057,46.55980885061766,12.861757652584057,87.52267563106747,12.038222098758668,47.125311273793315,12.038222098758668,87.44107828896165,12.018945042180718,47.05388134060859,12.018945042180718
274,430,631226.3658659171,729,91.01911728890025,76.6127450264558,631226.3658659171,74.83232173321625,49.367938393523346,66.42547902105021,49.367938393523346,83.9465884802165,84.59442042446031,79.00841411192687,84.59442042446031,83.48701916110195,82.17597530351897,78.22301764300909,82.17597530351897,84.9343472503501,75.76478786518243,73.61953842008627,75.76478786518243
275,265,17213.03280141151,523,95.44510109787291,13.602284510228207,17213.03280141151,81.0202906864673,73.3113579888739,14.88627074885278,73.3113579888739,88.4960821917198,160.92843569120745,9.519145408888068,160.92843569120745,86.53700455023575,119.26027511851127,15.616329961798884,119.26027511851127,85.50980906417276,116.09584793304634,15.97119811450354,116.09584793304634
276,42,140874.67382710017,1404,40.00103058693564,12.70035539029594,140874.67382710017,41.628222289574715,74.45858097807368,38.91404453946684,74.45858097807368,47.44233743760312,640.0048218893404,17.388682434585252,640.0048218893404,48.739552337186524,628.7029091284286,14.52054215641626,628.7029091284286,51.79931756764248,187.07411803335884,35.02770585981355,187.07411803335884
277,680,895863.6763635295,234,93.61379822158189,0.6885803738789302,895863.6763635295,86.82910128157654,36.75160552818838,7.418971532422681,36.75160552818838,87.59336864737259,68.46062643403683,6.988432557920093,68.46062643403683,87.45068011290937,67.61268901810064,7.135317339156401,67.61268901810064,86.25401920258813,62.121450460946754,6.74628987211066,62.121450460946754
